forecast,sales_qty,MAE,MAPE,RMSPE
1.7142857142857142,1.974285714285714,1.1228571428571428,0.09850909223572231,0.4244001082646466
1.7142857142857142,4.51,2.51,0.07950585999366487,0.9486908272531602
981.5714285714286,1208.4533,226.8818714285714,0.024387731946541088,85.75328696984722
6.142857142857143,0.0,6.142857142857143,inf,2.3217817627709674
18.428571428571427,267.18750000000045,250.24464285714333,0.12112110293382117,94.58358456088244
80.0,57.5,24.52285714285714,0.08600798952513437,9.268768776680563
596.0,749.1273571428572,170.59021428571427,0.03007136863547569,64.47704044303114
1182.2857142857142,901.1864285714285,312.5035714285714,0.08433081639435017,118.11524768850138
351.57142857142856,484.4180428571429,180.76261428571433,0.0531788714962146,68.3218462482702
1.0,0.0,1.0,inf,0.37796447300922725
53.285714285714285,45.98612857142857,10.858671428571427,0.048427880573532534,4.104192024080351
264.2857142857143,340.7865571428571,78.15570000000002,0.02942045347272804,29.54007796316727
2253.714285714286,2384.3486428571423,218.76618571428546,0.011661353703889306,82.68584609573863
282.7142857142857,440.7279285714286,158.0136428571429,0.04982773934399067,59.723543250768266
655.7142857142857,331.2805714285715,324.43371428571425,0.1610247232017769,122.62441784642617
912.1428571428571,903.0070428571437,97.84632857142834,0.016141408599002434,36.9824360143876
15.0,5.5842857142857145,9.415714285714285,0.2985664866605174,3.558805488005452
8215.0,20733.791442857146,12518.791442857144,0.07750336236858567,4731.658410411923
1.1428571428571428,0.0,1.1428571428571428,inf,0.4319593977248311
222.85714285714286,247.5525714285715,30.482857142857192,0.01627060903889599,11.521437035815577
139.71428571428572,152.2183,18.509157142857152,0.01609369582674574,6.995803825344978
2.0,0.0,2.0,inf,0.7559289460184545
836.7142857142857,2675.059314285714,1968.1822571428572,0.07862595906151083,743.9029696071115
379.85714285714283,562.3158571428571,188.58754285714284,0.04159175406342465,71.27939125210504
539.7142857142857,93.7800571428571,445.9342285714286,0.7747492338349854,168.54729569877628
2.7142857142857144,1.0,2.0,0.2857142857142857,0.7559289460184544
3484.8571428571427,3554.447771428572,414.14108571428505,0.016492622031105485,156.53061721346896
305.57142857142856,336.4073857142857,66.80915714285715,0.02384494716257261,25.25148787169065
123.28571428571429,17.307142857142857,105.97857142857143,1.2981473037449316,40.05613490027075
518.5714285714286,1927.2271428571435,1408.6557142857148,0.10368625047775651,532.4218147014368
23023.428571428572,18359.525185714283,4663.903385714289,0.03929501652540297,1762.7897853474517
3.0,5.878571428571428,3.4499999999999997,0.08681758580961065,1.3039774318818336
4.285714285714286,5.606,1.5459999999999998,0.03392860407018935,0.5843330752722652
2.4285714285714284,1.4,1.0,0.12857142857142856,0.3779644730092272
37.142857142857146,34.58871428571429,13.183000000000005,0.07689187381292462,4.982705647680644
17.428571428571427,0.0,17.428571428571427,inf,6.587380815303674
2.0,2.59,1.0566666666666666,0.06034365804480746,0.39938245981308346
1646.5714285714287,1805.7627142857143,270.7667142857142,0.020243782699495956,102.34019847343997
1027.5714285714287,1620.7299142857144,593.1584857142859,0.048544286381991486,224.19283446395124
4618.857142857143,10463.965771428573,5845.108628571431,0.06258033062402733,2209.243402479688
12763.285714285714,14036.068214285711,1860.7768142857187,0.017277619464381007,703.3075279992905
9226.57142857143,6768.136528571429,2458.4348999999993,0.06495782197150765,929.2010514059918
171.71428571428572,165.25514285714286,9.891142857142878,0.009683128561674853,3.7385005974589895
1282.0,1519.4262857142871,348.2005714285721,0.030635738593820756,131.60744548151203
1096.0,2741.5447285714217,1645.5447285714215,0.07407543752705771,621.9574461476093
664.8571428571429,527.6134285714286,137.24371428571425,0.04161201245900708,51.87324814382894
1.1428571428571428,0.0,1.1428571428571428,inf,0.43195939772483116
3.857142857142857,3.15,0.8500000000000001,0.038548752834467126,0.32126980205784317
1.0,192.46359999999996,191.46359999999996,0.1420333453635576,72.36643867444947
13.714285714285714,14.965714285714286,3.745714285714286,0.04098482907000924,1.4157469260431341
1450.0,1546.2808999999993,227.17061428571392,0.021260378750082166,85.86242151168229
14.0,16.404714285714284,4.619,0.036789952369474736,1.7458179008296209
36.42857142857143,42.6,9.885714285714286,0.029615543925449548,3.73644879031979
0.00035513211489435095,0.0,0.00035513211489435095,inf,0.00012555816332945785
129.0,61.977714285714285,67.02228571428573,0.20409600520701124,25.33204289987386
448.0,542.0331428571427,105.14514285714276,0.02515730381403849,39.74112850947987
1.0,-0.030000000000000027,1.03,0.1474164133738602,0.389303407199504
4.428571428571429,2.3000000000000003,1.7,0.13620914837087142,0.6425396041156862
537.8571428571429,726.3251000000004,188.46795714285741,0.03189531810601809,71.23419210062575
123.85714285714286,168.13024285714286,44.2731,0.03595207865005378,16.73365890998482
202.14285714285714,422.82457142857146,223.0320000000001,0.05944731347066535,84.298172344194
14.428571428571429,5.591428571428572,9.354285714285714,0.5612808785195209,3.5355876703777427
15.285714285714286,16.114285714285714,4.137142857142856,0.03868395817281511,1.5636930197638885
63.996857142857145,120.77282857142855,56.7759714285714,0.060984081748255356,21.45930012058693
19.428571428571427,28.7839,11.069614285714286,0.05365313120604314,4.183920929915414
3.0,1.0,2.0,0.2857142857142857,0.7559289460184544
102.42857142857143,132.77964285714276,35.61395714285705,0.037370819105539695,13.460810543273167
278.42857142857144,289.8533285714285,37.015414285714314,0.01758728569593576,13.990511553718232
1560.0,1081.9194857142854,478.0805142857146,0.06966095039444707,180.69744963798047
857.4285714285714,886.7168571428567,97.67571428571432,0.015137012829430863,36.91794987579986
39.285714285714285,49.69428571428572,11.277142857142865,0.028083549673459208,4.262359357049774
96.14285714285714,116.82227142857143,24.976557142857136,0.025598760339616795,9.440251258084846
344.85714285714283,296.7540000000001,50.506000000000014,0.028312326440005024,19.089473673804033
3160.285714285714,3080.262028571429,258.9097428571427,0.012294192422690574,97.85868451595447
140.57142857142858,110.61714285714285,35.37428571428571,0.05780095376882388,13.370223258077838
3.0,1.45,1.55,0.15270935960591134,0.5858449331643022
385.85714285714283,423.84828571428574,49.45771428571425,0.014675877771350931,18.693258916240918
1727.857142857143,1196.8700000000001,558.1328571428572,0.07738757817751395,210.95439121913435
6.142857142857143,4.9399999999999995,2.191428571428571,inf,0.8282821451373635
3975.1428571428573,4299.334871428572,473.8923,0.014929256792404533,179.1144534326306
3.5714285714285716,0.0,3.5714285714285716,inf,1.3498731178900976
302.14285714285717,315.54028571428574,47.22542857142859,0.021282277967557262,17.849534222634905
697.2857142857143,851.3998428571427,154.1147571428571,0.023375605834400542,58.24990296644501
8.0,7.4471428571428575,2.3042857142857143,0.09461717126154988,0.8709381356626907
1.0,3.1199999999999997,2.12,0.08426950849853469,0.8012846827795617
4181.0,6955.0748,2774.0748,0.046292505859127406,1048.5017198701776
10277.42857142857,16511.039800000002,6233.611228571431,0.04469349170561492,2356.083582951402
75.42857142857143,112.60571428571428,37.17714285714287,0.041686370590695895,14.051639207988762
1.7142857142857142,1.37,0.6299999999999999,0.0656934306569343,0.2381176179958131
2.857142857142857,2.3016666666666663,1.0916666666666666,0.12197112972056466,0.41261121636840636
2.142857142857143,3.5128571428571425,2.1585714285714284,0.1458983112063627,0.8158633124527748
677.1428571428571,749.5524285714291,129.7348000000005,0.024151099317775156,49.03514531295768
5.571428571428571,0.0,5.571428571428571,inf,2.1058020639085515
