Account_date,sales_qty,median_1_week,up_1_week,low_1_week,slope_var_1_week,var_1_week,slope_sum_1_week,sum_1_week,mean_1_week,slope_1_week,skew_1_week,kurt_1_week,cv_1_week,median_2_week,up_2_week,low_2_week,slope_var_2_week,var_2_week,slope_sum_2_week,sum_2_week,mean_2_week,slope_2_week,skew_2_week,kurt_2_week,cv_2_week,median_3_week,up_3_week,low_3_week,slope_var_3_week,var_3_week,slope_sum_3_week,sum_3_week,mean_3_week,slope_3_week,skew_3_week,kurt_3_week,cv_3_week,median_4_week,up_4_week,low_4_week,slope_var_4_week,var_4_week,slope_sum_4_week,sum_4_week,mean_4_week,slope_4_week,skew_4_week,kurt_4_week,cv_4_week,back_1day,back_3day,back_7day,last_7days_mean,last_7days_var,last_7days_trend,cv_7days,last_14days_mean,last_14days_var,last_14days_trend,cv_14days,last_21days_mean,last_21days_var,last_21days_trend,cv_21days
2020-02-20,96.05000000000001,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,,,,648.2263,6020.937468089927,1.1179784306335088,0.11995046596877984,,,,,,,,
2020-02-21,864.2999999999993,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,713.6623999999989,,,487.04407142857104,47504.43807058777,1.4445400349529318,0.4431894667580981,653.6755999999999,2634.111916959924,1.0768679938583312,0.07919711277365059,653.6755999999999,2634.111916959924,1.0768679938583312,0.07919711277365059
2020-02-22,1571.6775000000002,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,-660.9974999999989,,,423.4611428571426,502540.4252578774,2.6677636317374507,1.6491636212062288,,,,,,,,
2020-02-23,1132.3619999999996,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,618.4324999999997,671.0973999999997,,,,,,,,,,,,,
2020-02-24,800.0964999999994,410.9686000000004,929.0914999999995,226.63565000000008,24743.477273564782,321841.6379516223,407.42510000000027,4310.3604000000005,615.7657714285715,35.8813709183674,,,0.912559599542433,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,-319.1160999999995,-361.68109999999876,,501.0076857142857,246589.3979493559,0.008824566089454863,0.9794688145606796,423.4611428571426,175587.09868416304,0.010436762173754426,0.9757701707272068,423.4611428571426,175587.09868416304,0.010436762173754426,0.9757701707272068
2020-02-25,790.707499999999,410.9686000000004,929.0914999999995,226.63565000000008,24743.477273564782,321841.6379516223,407.42510000000027,4310.3604000000005,615.7657714285715,35.8813709183674,,,0.912559599542433,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,-340.96130000000016,-41.64489999999999,,390.7818285714284,167538.50024667906,2.042199105858041,1.0315068259959295,647.2379285714285,23365.742859183523,1.2342636318168443,0.23517219762010932,647.2379285714285,23365.742859183523,1.2342636318168443,0.23517219762010932
2020-02-26,704.9991999999992,410.9686000000004,929.0914999999995,226.63565000000008,24743.477273564782,321841.6379516223,407.42510000000027,4310.3604000000005,615.7657714285715,35.8813709183674,,,0.912559599542433,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,1116.1019999999996,456.02459999999996,,400.0513285714283,152612.24427522876,1.9715867862015368,0.9621788308690997,648.2263,20300.892353439693,1.21792277977648,0.21897961055592383,648.2263,20300.892353439693,1.21792277977648,0.21897961055592383
2020-02-27,676.3373999999997,410.9686000000004,929.0914999999995,226.63565000000008,24743.477273564782,321841.6379516223,407.42510000000027,4310.3604000000005,615.7657714285715,35.8813709183674,-4.186328764823662e-09,6.747006196824513e-12,0.912559599542433,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,439.3155000000006,1214.4562,1566.4375000000002,,,,,,,,,,,,
2020-02-28,725.8209999999996,410.9686000000004,929.0914999999995,226.63565000000008,24743.477273564782,321841.6379516223,407.42510000000027,4310.3604000000005,615.7657714285715,35.8813709183674,4.660530471134603e-10,3.613381380917986e-13,0.912559599542433,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,-845.8565000000007,709.5609999999996,6.918600000000652,647.2379285714284,854588.5212230416,2.424538014095575,1.4145306027263356,,,,,,,,
2020-02-29,718.9023999999989,410.9686000000004,929.0914999999995,226.63565000000008,24743.477273564782,321841.6379516223,407.42510000000027,4310.3604000000005,615.7657714285715,35.8813709183674,2.6282132849791147e-08,7.814133170144991e-11,0.912559599542433,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,-629.7709999999995,-1036.3119999999997,38.14510000000001,,,,,,,,,,,,
2020-03-01,696.9966999999996,410.9686000000004,929.0914999999995,226.63565000000008,24743.477273564782,321841.6379516223,407.42510000000027,4310.3604000000005,615.7657714285715,35.8813709183674,4.159281199190174e-09,6.68894631951954e-12,0.912559599542433,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,314.91860000000037,-1160.7088999999999,-265.3687999999993,564.8927285714286,317850.9650354451,0.001961502496775575,0.987567598528905,,,,,,,,
2020-03-02,410.9686000000004,704.9991999999992,795.4019999999991,350.7133499999998,-25410.480068979414,143968.2774687664,-63.960071428572,3862.6398999999965,551.8056999999995,-9.137153061224565,5.191047243178714e-09,8.988212023904936e-12,0.6807939124691017,410.9686000000004,929.0914999999995,226.63565000000008,24743.477273564782,321841.6379516223,407.42510000000027,4310.3604000000005,615.7657714285715,35.8813709183674,,,0.912559599542433,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,-409.85860000000037,-724.7109999999996,-356.11130000000014,653.6755999999999,310946.3097753598,0.14671388394496454,0.8455369019228195,,,,,,,,
2020-03-03,357.22130000000016,704.9991999999992,795.4019999999991,350.7133499999998,-25410.480068979414,143968.2774687664,-63.960071428572,3862.6398999999965,551.8056999999995,-9.137153061224565,4.626331479793817e-09,7.70872103121988e-12,0.6807939124691017,410.9686000000004,929.0914999999995,226.63565000000008,24743.477273564782,321841.6379516223,407.42510000000027,4310.3604000000005,615.7657714285715,35.8813709183674,,,0.912559599542433,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,695.8866999999996,600.9466999999995,680.7366999999996,,,,,,,,,,,,
2020-03-04,57.9049,704.9991999999992,795.4019999999991,350.7133499999998,-25410.480068979414,143968.2774687664,-63.960071428572,3862.6398999999965,551.8056999999995,-9.137153061224565,1.2283847804861961e-09,1.315565783097641e-12,0.6807939124691017,410.9686000000004,929.0914999999995,226.63565000000008,24743.477273564782,321841.6379516223,407.42510000000027,4310.3604000000005,615.7657714285715,35.8813709183674,,,0.912559599542433,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,-692.5666999999996,-406.5386000000004,-1127.9319999999996,,,,,,,,,,,,
2020-03-05,16.26,704.9991999999992,795.4019999999991,350.7133499999998,-25410.480068979414,143968.2774687664,-63.960071428572,3862.6398999999965,551.8056999999995,-9.137153061224565,6.628213031371195e-10,5.779123085702564e-13,0.6807939124691017,410.9686000000004,929.0914999999995,226.63565000000008,24743.477273564782,321841.6379516223,407.42510000000027,4310.3604000000005,615.7657714285715,35.8813709183674,-4.186328764823662e-09,6.747006196824513e-12,0.912559599542433,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,795.6664999999995,798.9864999999994,-771.5810000000008,,,,,,,,,,,,
2020-03-06,5.24,704.9991999999992,795.4019999999991,350.7133499999998,-25410.480068979414,143968.2774687664,-63.960071428572,3862.6398999999965,551.8056999999995,-9.137153061224565,1.7962396461450082e-09,2.1834958478212408e-12,0.6807939124691017,410.9686000000004,929.0914999999995,226.63565000000008,24743.477273564782,321841.6379516223,407.42510000000027,4310.3604000000005,615.7657714285715,35.8813709183674,4.660530471134603e-10,3.613381380917986e-13,0.912559599542433,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,-9.389000000000465,93.71079999999938,64.88649999999939,,,,,,,,,,,,
