,Sku_code,Sku_name,Stock,ORDER_SUM,Inventory,stockout,Suggestion_qty,Stock_new
0,65550,樱桃小番茄,352,242,110,0,282,392
1,07540,优选泰国桂圆,428,216,212,0,51,263
2,07310,金火龙果,871,566,305,0,300,605
3,11620,带叶鲜橙（小）,321,299,22,0,279,301
4,11600,满山红富士（大）,409,155,254,0,0,254
5,16010,春蕉,1497,1265,232,0,1033,1265
6,16040,进口蕉,670,331,339,0,349,688
7,07350,泰国椰青,360,161,199,0,127,326
8,13160,南水梨,308,58,250,0,0,250
9,06390,金边香芒,231,117,114,0,73,187
10,05200,沙洲绿宝瓜,3630,1073,2557,0,0,2557
11,01310,克伦森无籽红提,621,243,378,0,13,391
12,08890,金香露蜜桔,302,120,182,0,0,182
13,05020,鲜丰玉麒麟,183,267,-84,-84,358,274
14,07640,智利车厘子J,241,60,181,0,44,225
15,06850,百香果（盒）,30,31,-1,-1,32,31
16,65770,冰糖橙,127,36,91,0,0,91
17,07600,菲律宾凤梨,116,74,42,0,78,120
18,12190,龙珠果,21,9,12,0,5,17
19,01270,冰糖木瓜,8,4,4,0,2,6
20,07340,火参果,8,4,4,0,2,6
21,07300,蜜宝红心火龙果,120,51,69,0,0,69
22,11650,优选香梨,73,51,22,0,32,54
23,07950,金尧榴莲,273,138,135,0,160,295
24,11710,甄选蓝莓,147,65,82,0,0,82
25,12130,原种红玉木瓜,83,34,49,0,18,67
26,07220,台湾释迦,23,18,5,0,14,19
27,12240,珍珠牛奶枣,190,88,102,0,85,187
