,Sku_code,Sku_name,Stock,ORDER_SUM,Inventory,stockout,Suggestion_qty,Stock_new
0,65550,樱桃小番茄,910,735,175,0,756,931
1,07540,优选泰国桂圆,727,428,299,0,184,483
2,07310,金火龙果,2296,802,1494,0,0,1494
3,11620,带叶鲜橙（小）,647,511,136,0,472,608
4,11600,满山红富士（大）,372,776,-404,-404,1202,798
5,16010,春蕉,2471,3856,-1385,-1385,5241,3856
6,16040,进口蕉,1550,361,1189,0,0,1189
7,07350,泰国椰青,629,463,166,0,411,577
8,13160,南水梨,468,274,194,0,111,305
9,06390,金边香芒,614,397,217,0,231,448
10,05200,沙洲绿宝瓜,3468,1570,1898,0,108,2006
11,01310,克伦森无籽红提,737,679,58,0,702,760
12,08890,金香露蜜桔,318,173,145,0,73,218
13,05020,鲜丰玉麒麟,670,368,302,0,71,373
14,07640,智利车厘子J,471,338,133,0,621,754
15,06850,百香果（盒）,92,43,49,0,0,49
16,65770,冰糖橙,199,68,131,0,0,131
17,07600,菲律宾凤梨,240,135,105,0,50,155
18,12190,龙珠果,41,23,18,0,10,28
19,01270,冰糖木瓜,21,11,10,0,3,13
20,07340,火参果,23,11,12,0,0,12
21,07300,蜜宝红心火龙果,206,141,65,0,109,174
22,11650,优选香梨,290,197,93,0,124,217
23,07950,金尧榴莲,280,121,159,0,447,606
24,11710,甄选蓝莓,293,251,42,0,243,285
25,12130,原种红玉木瓜,105,53,52,0,8,60
26,07220,台湾释迦,82,66,16,0,56,72
27,12240,珍珠牛奶枣,332,218,114,0,151,265
